3659,0,0,227,1835
3671,0,0,273,1701
3673,0,0,189,1683
3677,0,0,226,1782
3691,0,0,202,1472
3697,0,0,223,1734
3701,0,0,212,1603
3709,0,0,161,1509
3719,0,0,276,1806
3727,0,0,189,1636
3733,0,0,191,1605
3739,0,0,227,1622
3761,0,0,249,1704
3767,0,0,187,1653
3769,0,0,179,1620
3779,0,0,217,1741
3793,0,0,179,1483
3797,0,0,242,1684
3803,0,0,287,1734
3821,0,0,222,1789
3823,0,0,218,1807
3833,0,0,269,1731
3847,0,0,216,1532
3851,0,0,222,1636
3853,0,0,209,1600
3863,0,0,245,1678
3877,0,0,182,1769
3881,0,0,269,1893
3889,0,0,214,1624
3907,0,0,225,1682
3911,0,0,228,1577
3917,0,0,212,1670
3919,0,0,230,1665
3923,0,0,183,1626
3929,0,0,250,1824
3931,0,0,200,1506
3943,0,0,270,1815
3947,0,0,188,1834
3967,0,0,241,1850
3989,0,0,257,1765
4001,0,0,222,1731
4003,0,0,184,1666
4007,0,0,217,1749
4013,0,0,166,1723
4019,0,0,195,1527
4021,0,0,190,1667
4027,0,0,223,1817
4049,0,0,244,1830
4051,0,0,172,1761
4057,0,0,191,1546
4073,0,0,245,1836
4079,0,0,211,1697
4091,0,0,268,1702
4093,0,0,194,1631
4099,0,0,184,1685
4111,0,0,202,1758
4127,0,0,215,1878
4129,0,0,194,1696
4133,0,0,203,1809
4139,0,0,262,1869
4153,0,0,211,1523
4157,0,0,201,1692
4159,0,0,194,1712
4177,0,0,165,1676
4201,0,0,206,1728
4211,0,0,219,1857
4217,0,0,254,1746
4219,0,0,279,1847
4229,0,0,252,1807
4231,0,0,196,1823
4241,0,0,195,1740
4243,0,0,219,1773
4253,0,0,201,1600
4259,0,0,199,1616
4261,0,0,172,1779
4271,0,0,225,1770
4273,0,0,244,1659
4283,0,0,262,1862
4289,0,0,232,1723
4297,0,0,198,1711
4327,0,0,236,1814
4337,0,0,217,1650
4339,0,0,236,1656
4349,0,0,209,1732
4357,0,0,210,1555
4363,0,0,237,1605
4373,0,0,286,1885
4391,0,0,246,1821
4397,0,0,260,1997
4409,0,0,245,1720
4421,0,0,248,1851
4423,0,0,193,1695
4441,0,0,200,1675
4447,0,0,203,1812
4451,0,0,212,1616
4457,0,0,265,1947
4463,0,0,228,1772
4481,0,0,272,1645
4483,0,0,306,1915
4493,0,0,248,1761
4507,0,0,199,1852
4513,0,0,212,1641
4517,0,0,217,1800
4519,0,0,199,1754
4523,0,0,256,1805
4547,0,0,217,1705
4549,0,0,224,1823
4561,0,0,159,1687
4567,0,0,261,1735
4583,0,0,279,1750
4591,0,0,199,1681
4597,0,0,225,1653
4603,0,0,219,1806
4621,0,0,171,1507
4637,0,0,243,1846
4639,0,0,187,1805
4643,0,0,265,2086
4649,0,0,260,1791
4651,0,0,156,1587
4657,0,0,230,1885
4663,0,0,226,1751
4673,0,0,255,1935
4679,0,0,257,1850
4691,0,0,319,1908
4703,0,0,249,1806
4721,0,0,266,1869
4723,0,0,197,1771
4729,0,0,203,1748
4733,0,0,239,1663
4751,0,0,258,1839
4759,0,0,189,1720
4783,0,0,236,1747
4787,0,0,230,1804
4789,0,0,173,1552
4793,0,0,223,1681
4799,0,0,281,1786
4801,0,0,192,1742
4813,0,0,207,1622
4817,0,0,246,1819
4831,0,0,186,1773
4861,0,0,236,1637
4871,0,0,264,1750
4877,0,0,252,1671
4889,0,0,225,1695
4903,0,0,219,1960
4909,0,0,172,1557
4919,0,0,208,1851
4931,0,0,239,1716
4933,0,0,174,1735
4937,0,0,190,1831
4943,0,0,257,1831
4951,0,0,206,1698
4957,0,0,207,1662
4967,0,0,211,1663
4969,0,0,245,1621
4973,0,0,297,1932
4987,0,0,250,1791
4993,0,0,218,1577
4999,0,0,241,1663
5003,0,0,238,1776
5009,0,0,258,1856
5011,0,0,183,1766
5021,0,0,266,1837
5023,0,0,231,1708
5039,0,0,208,1913
5051,0,0,277,1810
5059,0,0,229,1800
5077,0,0,266,1614
5081,0,0,236,1824
5087,0,0,263,1801
5099,0,0,275,1831
5101,0,0,218,1877
5107,0,0,209,1734
5113,0,0,214,1802
5119,0,0,211,1818
5147,0,0,301,1896
5153,0,0,247,1750
5167,0,0,258,1887
5171,0,0,283,1902
5179,0,0,173,1655
5189,0,0,260,1777
5197,0,0,256,1889
5209,0,0,219,1804
5227,0,0,208,1727
5231,0,0,263,1779
5233,0,0,219,1911
5237,0,0,220,1653
5261,0,0,255,1861
5273,0,0,234,1764
5279,0,0,267,1644
5281,0,0,225,1764
5297,0,0,253,1694
5303,0,0,274,1763
5309,0,0,249,1904
5323,0,0,220,1857
5333,0,0,231,1739
5347,0,0,221,1708
5351,0,0,246,1986
5381,0,0,232,1594
5387,0,0,228,1824
5393,0,0,269,1903
5399,0,0,254,1883
5407,0,0,276,1706
5413,0,0,257,1864
5417,0,0,248,1757
5419,0,0,195,1761
5431,0,0,255,1819
5437,0,0,207,1954
5441,0,0,243,1704
5443,0,0,189,1794
5449,0,0,205,1741
5471,0,0,313,1699
5477,0,0,258,2024
5479,0,0,275,2019
5483,0,0,230,2033
5501,0,0,207,1577
5503,0,0,254,1980
5507,0,0,244,1850
5519,0,0,261,1933
5521,0,0,174,1631
5527,0,0,212,2138
5531,0,0,270,1888
5557,0,0,176,1927
5563,0,0,207,1651
5569,0,0,194,1802
5573,0,0,264,1757
5581,0,0,165,1693
5591,0,0,309,1996
5623,0,0,219,1749
5639,0,0,234,1874
5641,0,0,204,1678
5647,0,0,237,1962
5651,0,0,282,1709
5653,0,0,221,1820
5657,0,0,286,1715
5659,0,0,253,1732
5669,0,0,229,1893
5683,0,0,238,1744
5689,0,0,204,1962
5693,0,0,186,1842
5701,0,0,231,1745
5711,0,0,249,1675
5717,0,0,251,1790
5737,0,0,261,1696
5741,0,0,254,1951
5743,0,0,214,1751
5749,0,0,194,1873
5779,0,0,226,1910
5783,0,0,223,1715
5791,0,0,172,1651
5801,0,0,261,1826
5807,0,0,240,1864
5813,0,0,244,1999
5821,0,0,192,1575
5827,0,0,279,1816
5839,0,0,206,1787
5843,0,0,276,1930
5849,0,0,279,2009
5851,0,0,216,1862
5857,0,0,196,1727
5861,0,0,254,1779
5867,0,0,259,1897
5869,0,0,200,1645
5879,0,0,299,1956
5881,0,0,243,1760
5897,0,0,216,1796
5903,0,0,175,1772
5923,0,0,203,1752
5927,0,0,234,1771
5939,0,0,256,1767
5953,0,0,230,1854
5981,0,0,256,2010
5987,0,0,246,1969
6007,0,0,242,1845
6011,0,0,279,1947
6029,0,0,245,1841
6037,0,0,244,1797
6043,0,0,225,2204
6047,0,0,199,1780
6053,0,0,252,1875
6067,0,0,260,1827
6073,0,0,192,1832
6079,0,0,281,1657
6089,0,0,298,1907
6091,0,0,248,1846
6101,0,0,255,1825
6113,0,0,254,1728
6121,0,0,233,1723
6131,0,0,205,1749
6133,0,0,257,2057
6143,0,0,274,1921
6151,0,0,208,1883
6163,0,0,227,1851
6173,0,0,248,1942
6197,0,0,202,1735
6199,0,0,249,1827
6203,0,0,213,1799
6211,0,0,232,1741
6217,0,0,216,1829
6221,0,0,271,1880
6229,0,0,181,1709
6247,0,0,264,1818
6257,0,0,230,1967
6263,0,0,292,1823
6269,0,0,273,2031
6271,0,0,214,1869
6277,0,0,189,1830
6287,0,0,215,1677
6299,0,0,271,2042
6301,0,0,200,1694
6311,0,0,248,2011
6317,0,0,286,1888
